chr start end eigen domain
chr1 3000000 3039999 0.00585524735801591 closed
chr1 3040000 3079999 0.00462068257738901 closed
chr1 3080000 3119999 0.00410291608104423 closed
chr1 3120000 3159999 0.00445902789765337 closed
chr1 3160000 3199999 0.00505737844913544 closed
chr1 3200000 3239999 0.00509631184458771 closed
chr1 3240000 3279999 0.00517998684406991 closed
chr1 3280000 3319999 0.00503957401398104 closed
chr1 3320000 3359999 0.00599477108246431 closed
chr1 3360000 3399999 0.00595247477418934 closed
chr1 3400000 3439999 0.00573685833958892 closed
chr1 3440000 3479999 0.00470066486443004 closed
chr1 3480000 3519999 0.00489921121690896 closed
chr1 3520000 3559999 0.00544463200756167 closed
chr1 3560000 3599999 0.00577397028157503 closed
chr1 3600000 3639999 0.00544686619634796 closed
chr1 3640000 3679999 0.00479692021443971 closed
chr1 3680000 3719999 0.00448504239746249 closed
chr1 3720000 3759999 0.00406973942518506 closed
chr1 3760000 3799999 0.00402819129642185 closed
chr1 3800000 3839999 0.00393444268813356 closed
chr1 3840000 3879999 0.00429480488858872 closed
chr1 3880000 3919999 0.00457102270065432 closed
chr1 3920000 3959999 0.00576276336135691 closed
chr1 3960000 3999999 0.00689632943364693 closed
chr1 4000000 4039999 0.00739303933467868 closed
chr1 4040000 4079999 0.00649208811397603 closed
chr1 4080000 4119999 0.00529579280897371 closed
chr1 4120000 4159999 0.00477546987816575 closed
chr1 4160000 4199999 0.00486122434666081 closed
chr1 4200000 4239999 0.00500820804978422 closed
chr1 4240000 4279999 0.005004955130627 closed
chr1 4280000 4319999 0.00516819664695008 closed
chr1 4320000 4359999 0.00468147143413706 closed
chr1 4360000 4399999 0.00371756254014481 closed
chr1 4400000 4439999 0.00177207347053049 closed
chr1 4440000 4479999 0.000358957634319913 closed
chr1 4480000 4519999 -0.000403442035935037 open
chr1 4520000 4559999 4.99327866748589e-05 closed
chr1 4560000 4599999 0.000968010025014689 closed
chr1 4600000 4639999 0.0017022969918849 closed
chr1 4640000 4679999 0.00190629888436497 closed
chr1 4680000 4719999 0.000605343923493429 closed
chr1 4720000 4759999 -0.00196561145628988 open
chr1 4760000 4799999 -0.00586526701059546 open
chr1 4800000 4839999 -0.00792954724225239 open
chr1 4840000 4879999 -0.0086806248284071 open
chr1 4880000 4919999 -0.00742576633457603 open
chr1 4920000 4959999 -0.00651292415144988 open
chr1 4960000 4999999 -0.00512077899689714 open
chr1 5000000 5039999 -0.00374785064635549 open
chr1 5040000 5079999 -0.00270053111371215 open
chr1 5080000 5119999 -0.0018619482429829 open
chr1 5120000 5159999 -0.000999334478440529 open
chr1 5160000 5199999 -7.21011077955326e-05 open
chr1 5200000 5239999 0.000166029838222469 closed
chr1 5240000 5279999 -0.000350256540923356 open
chr1 5280000 5319999 -0.000138948207995426 open
chr1 5320000 5359999 0.00129515870744247 closed
chr1 5360000 5399999 0.00310352694930568 closed
chr1 5400000 5439999 0.00405331688269934 closed
chr1 5440000 5479999 0.0040142942806271 closed
chr1 5480000 5519999 0.00381970042180383 closed
chr1 5520000 5559999 0.00367466682391091 closed
chr1 5560000 5599999 0.0040880943039178 closed
chr1 5600000 5639999 0.00488122483097291 closed
chr1 5640000 5679999 0.00574794769016685 closed
chr1 5680000 5719999 0.00574328072832902 closed
chr1 5720000 5759999 0.00495382949529344 closed
chr1 5760000 5799999 0.00375995110621438 closed
chr1 5800000 5839999 0.00317889040772494 closed
chr1 5840000 5879999 0.00266762005666283 closed
chr1 5880000 5919999 0.00264612427865612 closed
chr1 5920000 5959999 0.00249685823291379 closed
chr1 5960000 5999999 0.00321245442448813 closed
chr1 6000000 6039999 0.00430980201515493 closed
chr1 6040000 6079999 0.00514304641125606 closed
chr1 6080000 6119999 0.00536709062209616 closed
chr1 6120000 6159999 0.00459398198480958 closed
chr1 6160000 6199999 0.00435074084055355 closed
chr1 6200000 6239999 0.00392321189140009 closed
chr1 6240000 6279999 0.00378729195453254 closed
chr1 6280000 6319999 0.00351645809273797 closed
chr1 6320000 6359999 0.00303874874032554 closed
chr1 6360000 6399999 0.00327725541600161 closed
chr1 6400000 6439999 0.00275932192467544 closed
chr1 6440000 6479999 0.00327249260971516 closed
chr1 6480000 6519999 0.00368301915569875 closed
chr1 6520000 6559999 0.00561074106581528 closed
chr1 6560000 6599999 0.0067043463710287 closed
chr1 6600000 6639999 0.00669023983138969 closed
chr1 6640000 6679999 0.00570567091970657 closed
chr1 6680000 6719999 0.00509005048740953 closed
chr1 6720000 6759999 0.00600912457544818 closed
chr1 6760000 6799999 0.00645227866896069 closed
chr1 6800000 6839999 0.00678011497184971 closed
chr1 6840000 6879999 0.0055245875466763 closed
chr1 6880000 6919999 0.00484584047286018 closed
chr1 6920000 6959999 0.00348401682854275 closed
chr1 6960000 6999999 0.00240826351046722 closed
chr1 7000000 7039999 -0.000149600063881565 open
chr1 7040000 7079999 -0.00286742603455256 open
chr1 7080000 7119999 -0.00516828212995 open
chr1 7120000 7159999 -0.00417490852244946 open
chr1 7160000 7199999 -0.00187426844002309 open
chr1 7200000 7239999 0.000622782187553295 closed
chr1 7240000 7279999 0.000653375530031567 closed
chr1 7280000 7319999 0.000419866020550858 closed
chr1 7320000 7359999 0.000328676180295518 closed
chr1 7360000 7399999 0.000580692337076754 closed
chr1 7400000 7439999 0.000626410988079076 closed
chr1 7440000 7479999 0.000783963911973293 closed
chr1 7480000 7519999 0.00140043678930427 closed
chr1 7520000 7559999 0.00257600761177495 closed
chr1 7560000 7599999 0.00329528406166382 closed
chr1 7600000 7639999 0.00439044524545168 closed
chr1 7640000 7679999 0.00467870130584698 closed
chr1 7680000 7719999 0.00527658632268714 closed
chr1 7720000 7759999 0.00457494527591305 closed
chr1 7760000 7799999 0.00411740573935418 closed
chr1 7800000 7839999 0.00346882960922948 closed
chr1 7840000 7879999 0.00385772456298276 closed
chr1 7880000 7919999 0.00495150621243175 closed
chr1 7920000 7959999 0.00601007018012492 closed
chr1 7960000 7999999 0.00665442975973341 closed
chr1 8000000 8039999 0.00630520631572806 closed
chr1 8040000 8079999 0.00579470885323506 closed
chr1 8080000 8119999 0.00505252901245691 closed
chr1 8120000 8159999 0.00480971929447272 closed
chr1 8160000 8199999 0.00467901932717794 closed
chr1 8240000 8279999 0.00597845159806601 closed
chr1 8280000 8319999 0.00647321918910904 closed
chr1 8320000 8359999 0.0070155234654972 closed
chr1 8360000 8399999 0.00575962497565852 closed
chr1 8400000 8439999 0.00496267337786788 closed
chr1 8440000 8479999 0.00344080084464929 closed
chr1 8480000 8519999 0.00221113522453404 closed
chr1 8520000 8559999 0.00129196443402123 closed
chr1 8560000 8599999 0.0018555741601528 closed
chr1 8600000 8639999 0.00272244218279101 closed
chr1 8640000 8679999 0.00364275927565014 closed
